NO,테이블명,PK,업데이트 컬럼 (증분적재시 필요),테이블설명,컬럼수,코드컬럼수,우선순위,
1,TC_CMMN_CD,,LAST_UPDT_DT,공통코드그룹,10,1,,
2,TC_CMMN_DTL_CD,,LAST_UPDT_DT,공통코드상세,15,1,,
3,TD_MS_EMAIL_LQY_SNDNG,,LAST_UPDT_DT,이메일발송조회,24,1,,
4,TD_MS_EMAIL_SNDNG_DTLS,,LAST_UPDT_DT,이메일발송상세,12,1,,
5,TD_MS_MSG_AT_LQY_SNDNG,,LAST_UPDT_DT,문자알림톡조회,18,0,,
6,TD_MS_MSG_AT_SNDNG_DTLS,,LAST_UPDT_DT,문자알림톡상세,17,2,,
7,TD_MS_PSTMTR_LQY_SNDNG,,LAST_UPDT_DT,우편발송조회,9,0,,
8,TD_MS_PSTMTR_SNDNG_DTL,,"LAST_UPDT_DT(OCR 발송 등은 현재 FRST, LAST 모두 UPDATE 되지 않음)",우편발송상세,15,0,,
9,TM_CM_BRND_MNG,,LAST_UPDT_DT,브랜드,9,2,,
10,TM_CM_CMPGN_MNG,,LAST_UPDT_DT,캠페인,27,11,상,
11,TM_CM_DEPT_INFO,,"LAST_UPDT_DT(OCR 발송 등은 현재 FRST, LAST 모두 UPDATE 되지 않음)",부서,12,2,,
12,TM_MM_FDRM_MBER_DVLP_AMT,,OCCRRNC_DE(기존 내역이 UPDATE 되지 않고 계속 이력이 쌓임),회원개발금액,20,8,,
13,TM_MM_FDRM_MBER_INFO,,FRST_REGIST_DT(기존 내역이 UPDATE 되지 않고 계속 이력이 쌓임),정기후원자,41,19,상,
14,TM_MM_ONCE_MBER_INFO,,FRST_REGIST_DT(기존 내역이 UPDATE 되지 않고 계속 이력이 쌓임),일시후원자,32,10,상,
15,TM_MS_EMAIL_SNDNG,,LAST_UPDT_DT,,15,2,,
16,TM_MS_MSG_AT_SNDNG,,LAST_UPDT_DT,문자알림톡마스터,21,4,중,
17,TM_MS_PSTMTR_SNDNG,,"LAST_UPDT_DT(OCR 발송 등은 현재 FRST, LAST 모두 UPDATE 되지 않음)",우편발송마스터,14,4,중,
18,TM_PM_DNTN_DTLS,,REGIST_DE(TRNSFER_MBRFEE_KEY가 UPDATE 되어도 변경되는 컬럼 없음),일시기부금,25,9,,
19,TM_PM_MBRFEE_ACMSLT,,OPERT_DE,회비납부누적,51,17,상,
20,TM_PM_SETLE_INFO,,LAST_UPDT_DT,,48,16,,
21,TM_RM_BPLC_MNG,,LAST_UPDT_DT,사업장,18,6,,
22,TM_RM_CHILD_MSTR_INFO,,LAST_REGIST_DT,아동마스터,16,7,,
23,TM_RM_RELATNSP_CHG_INFO,,CHG_DE,결연변경이력,7,3,,
24,TM_RM_RELATNSP_MSTR_INFO,,"RELATNSP_STRT_DE , RELATNSP_DSCNTC_DE (or조건으로)",결연관계마스터,11,3,,
25,TM_CM_MBER_DVLP_GOAL,,LAST_UPDT_DT,개발목표,9,1,,MBER_DVLP_DIV_CD
26,SND_REQ_MST,,SEND_DATE,상위,56,,,
27,SND_MEMBER_LIST,,SND_DT,하위,96,,,
28,TM_RM_RELATNSP_GFTMNEY_INFO,,SNDNG_DE,결연 선물금 정보,19,4,,"SETLE_CD, SETLE_BANK_CD, GFT_DIV_CD, UNREPLY_RSN_CD"
29,TM_RM_RELATNSP_LETTER_INFO,,SNDNG_DE,결연 서신 정보,14,5,,"LETTER_DIV_CD, UNREPLY_RSN_CD, LANG_CD, ONLINE_INFLOW_CD, LETTER_STAT_CD"
30,TM_MS_CRMN,,LAST_UPDT_DT,행사 정보,31,3,,"CRMN_DIV_CD, CPR_DIV_CD, ENTRPS_CD"
31,TD_MS_CRMN_PRTCPNT,,LAST_UPDT_DT,행사 참여자,19,4,,"RQST_PATH_CD, PARTCPT_STAT_CD, SELF_PARTCPT_CD,  RCPMNY_STAT_CD"
32,TM_MS_EVENT,,LAST_UPDT_DT,이벤트 정보,11,1,,EVENT_DIV_CD
33,TD_MS_EVENT_PRTCPNT_DTL,,LAST_UPDT_DT,이벤트 참여자,15,6,,"EVENT_CD, EVENT_PARTCPT_DIV_CD, PRZWIN_CD, PARTCPT_CHNNL_CD, PARTCPT_PATH_CD, PARTCPT_STAT_CD"
34,TM_MM_FDRM_MBER_RE_SPNSR,,RE_SPNSR_DE(UPDATE 없이 계속 ROW가 쌓이는 구조),정기회원재후원,5,0,,
35,TM_MM_FDRM_MBER_IRSD,,"OCCRRNC_DE(UPDATE 내역은 RDCAMT_YN이 Y로 바뀌나, 안 바뀌는 경우도 있음, 그 외에 날짜로 구분이 불가함)",정기회원증액,15,6,,
36,TM_MM_FDRM_MBER_SPNSR_BSNS,,SPNSR_NO(UPDATE 없이 계속 ROW가 쌓이는 구조),정기회원후원사업내역,7,1,,
37,TM_MM_FDRM_MBER_SPNSR_DSCNTC,,SPNSR_DSCNTC_DE(UPDATE 없이 계속 ROW가 쌓이는 구조),정기회원후원중단,7,2,,
38,TH_PM_SETLE_INFO_HIST,,UPDT_DT,결제정보이력,53,16,,
39,TM_CM_SPNSR_BSNS_INFO,,LAST_UPDT_DT,후원사업정보관리,13,4,,
40,TH_MM_FDRM_MBER_STNG_DTLS,,FRST_REGIST_DT,정기회원상태변경내역,6,2,,
41,TM_CM_MKTNG_CMPGN_MNG,,LAST_UPDT_DT,마케팅캠페인,8,0,,
